"date","year","month","country","sector","value"
2015-02-01,2015,2,"india","total_hist_mtco2",165.953299265917
2015-02-01,2015,2,"us","power_mtco2",148.487134438848
2015-02-01,2015,2,"us","industry_mtco2",59.7912974887763
2015-02-01,2015,2,"us","residential_mtco2",48.2183333333333
2015-02-01,2015,2,"us","aviation_mtco2",13.215
2015-02-01,2015,2,"us","transport_mtco2",132.800833333333
2015-02-01,2015,2,"us","total_hist_mtco2",402.512598594291
2015-02-01,2015,2,"europe","power_mtco2",97.7835497239804
2015-02-01,2015,2,"europe","industry_mtco2",52.4924262622896
2015-02-01,2015,2,"europe","residential_mtco2",49.1333333333333
2015-02-01,2015,2,"europe","aviation_mtco2",1.37916666666667
2015-02-01,2015,2,"europe","transport_mtco2",72.4058333333333
2015-02-01,2015,2,"europe","total_hist_mtco2",273.194309319603
2015-02-01,2015,2,"russia","power_mtco2",71.4265433621169
2015-02-01,2015,2,"russia","industry_mtco2",20.2401657147454
2015-02-01,2015,2,"russia","residential_mtco2",13.665
2015-02-01,2015,2,"russia","aviation_mtco2",1.26583333333333
2015-02-01,2015,2,"russia","transport_mtco2",18.7825
2015-02-01,2015,2,"russia","total_hist_mtco2",125.380042410196
2015-02-01,2015,2,"japan","power_mtco2",60.3414423126268
2015-02-01,2015,2,"japan","industry_mtco2",22.7872660611616
2015-02-01,2015,2,"japan","residential_mtco2",9.94333333333333
2015-02-01,2015,2,"japan","aviation_mtco2",0.834166666666667
2015-02-01,2015,2,"japan","transport_mtco2",16.4866666666667
2015-02-01,2015,2,"japan","total_hist_mtco2",110.392875040455
2015-02-01,2015,2,"brazil","power_mtco2",8.41551323596501
2015-02-01,2015,2,"brazil","industry_mtco2",11.0075935828877
2015-02-01,2015,2,"brazil","residential_mtco2",3.3225
2015-02-01,2015,2,"brazil","aviation_mtco2",0.9125
2015-02-01,2015,2,"brazil","transport_mtco2",15.5308333333333
2015-02-01,2015,2,"brazil","total_hist_mtco2",39.188940152186
2015-02-01,2015,2,"germany","power_mtco2",28.610924847908
2015-02-01,2015,2,"germany","industry_mtco2",10.7971972925545
2015-02-01,2015,2,"germany","residential_mtco2",10.9891666666667
2015-02-01,2015,2,"germany","aviation_mtco2",0.183333333333333
2015-02-01,2015,2,"germany","transport_mtco2",12.9458333333333
2015-02-01,2015,2,"germany","total_hist_mtco2",63.5264554737958
